Aarón
Abelito
Abrahán
Absalón
Abundio
Adalberto
Adán
Adolfito
Adolfo
Adrián
Adriano
Agapito
Agustín
Aimar
Aitor
Albano
Alberto
Alejandro
Alfonso
Alfredo
Álvaro
Andrés
Ángel
Aníbal
Aniceto
Antero
Antonio
Ariel
Armando
Arturo
Augustín
Aurelio
Bartolomé
Basilio
Beltrán
Beneharo
Benito
Benjamín
Bernardino
Bernardo
Blas
Bonifacio
Braulio
Calixto
Cándido
Canuto
Carlos
Casimiro
Cayetano
César
Chema
Chuy
Claudio
Cornelio
Cristóbal
Cruz
Cuauhtémoc
Dámaso
Damián
Daniel
David
Deodato
Derque
Diego
Dionisio
Domingo
Echedey
Édgar
Edgardo
Edmundo
Eduardo
Efraín
Efrén
Egidio
Elías
Eliseo
Eloy
Emanuel
Emilio
Enrique
Ernesto
Estanislao
Esteban
Eugenio
Ezequiel
Fabián
Fabio
Fabricio
Facundo
Fadrique
Federico
Feliciano
Felipe
Fermín
Fernán
Fernando
Ferrando
Fidel
Firjas
Fito
Florio
Floro
Francisco
Francisquito
Franco
Froila
Froilán
Fulberto
Fulco
Gabriel
Genaro
Germán
Gershu
Gilberto
Ginés
Gonzalo
Gregorio
Guadalupe
Guillermo
Gustavo
Héctor
Hernando
Hipólito
Homero
Horacio
Hugo
Humberto
Ignacio
Iñaki
Íñigo
Ireneo
Isaac
Isaías
Isidoro
Isidro
Ismael
Iván
Jacinto
Jacobo
Jaime
Jairo
Javi
Javier
Jerónimo
Jesús
Joaquín
Jonay
Jorge
José
José María
Joselito
Josué
Juan
Juanca
Juanfran
Juanito
Juano
Julián
Julio
Justín
Justo
Kebehi
Kenji
Ladislao
Lalo
Leandro
León
Leonardo
Leopoldo
Lito
Lope
Lorenzo
Lucas
Luciano
Luis
Luisito
Manolo
Manuel
Marcelino
Marcelo
Marcial
Marcos
Mariano
Mario
Marquito
Martín
Mateo
Matías
Máximo
Miguel
Miguel Ángel
Miguelito
Modesto
Moisés
Murillo
Narciso
Natalio
Natan
Natán
Nico

Nicolás
Nicolau
Octavio
Omar
Ordoño
Oriol
Óscar
Oswaldo
Pablito
Pablo
Paco
Pancho
Pascual
Pato
Patricio
Paulito
Pedro
Pelayo
Pío
Pipe
Poncho
Quique
Rafael
Raimundo
Ramiro
Ramón
Raúl
Renato
Ricardo
Roberto
Rodolfo
Rodrigo
Rogelio
Rubén
Ruy
Salomón
Salvador
Samuel
Sancho
Santi
Santiago
Saúl
Sebastián
Segundo
Sergio
Silvio
Simón
Sócrates
Tadeo
Teodoro
Teófilo
Timoteo
Tito
Tomás
Tristán
Ulises
Unai
Valentín
Vicente
Víctor
Vito
Yago
