Aada
Aasa
Aet
Age
Agnes
Aile
Aili
Aino
Ainu
Aire
Airi
Aita
Aive
Aleksandra
Alina
Andra
Anete
Angela
Angelika
Ann
Anna
Anne
Anneli
Anni
Annika
Anu
Asta
Astrid
Auli
Aune
Aurelia
Ave
Berit
Birgit
Brita
Dagmar
Diana
Ebe
Eda
Eeva
Eevi
Egle
Eha
Eili
Eliisa
Eliisabet
Eliise
Elina
Elis
Elle
Ellen
Elo
Elvi
Emma
Endla
Ene
Eneli
Epp
Ere
Erika
Esta
Ester
Eva
Eve
Evelin
Gerli
Greete
Grete
Hanna
Hedi
Heidi
Heili
Helbe
Hele
Helen
Helena
Heleri
Helga
Helgi
Heli
Helina
Helju
Helle
Helmi
Helve
Hiie
Hilda
Hilja
Hille
Iiris
Ille
Ilme
Ilona
Imbi
Ines
Inga
Inge
Ingel
Ingrid
Inna
Irene
Iris
Irja
Irma
Ivi
Ivika
Jaana
Jaanika
Jana
Jane
Janne
Johanna
Juta
Kaarin
Kadi
Kadri
Kai
Kaia
Kaidi
Kaie
Kaili
Kairi
Kaisa
Kaja
Karin
Karina
Karmen
Karoliina
Karoliine
Karolin
Katariina
Kati
Katre
Katri
Katriin
Katrin
Keiu
Kelli
Kerli
Kersti
Kerstin
Kertu
Kirke
Koidu
Krista
Kristel
Kristen
Kristi
Kristiina
Kristin
Kristina
Kärt
Kätlin
Külli
Küllike
Lagle
Laine
Laura
Lea
Leelo
Lehte
Leida
Leili
Lembi
Lemme
Lii
Liia
Liidia
Liilia
Liina
Liis
Liisa
Liisbet
Liisi
Liivi
Lilian
Lilli
Linda
Luule
Lüüdia
Maarika
Maarja
Made
Madli
Mai
Maia
Maie
Maila
Maimu
Maire
Malle
Mare
Maret
Margareeta
Margaret
Marge
Margit
Margot
Mari
Mari-Liis
Maria
Marika
Mariliis
Marina
Maris
Marit
Marje
Marju
Marleen
Marta
Marve
Meeli
Meelika
Meelike
Merike
Merili
Merilin
Merit
Merje
Merle
Miia
Miina
Minna
Mirjam
Monika
Moonika
Nele
Olli
Paula
Piia
Pille
Pilvi
Piret
Raahel
Rahel
Raili
Rebeka
Reeli
Reelika
Reet
Regina
Reili
Renate
Riin
Riina
Riinu
Rita
Ruth
Rutt
Ruut
Saara
Saima
Salme
Sandra
Sigrid
Siiri
Silja
Silvi
Silvia
Siret
Sirje
Sirli
Susanna
Taimi
Talvi
Tea
Teele
Terje
Tiia
Tiina
Tiiu
Triin
Triinu
Tuule
Tuuli
Ursula
Urve
Vaike
Valli
Veronika
Viia
Viiu
Viive
Viivi
Vilja
Vilma
Virge
Virve
Õie
Õnne
Õnnela
Ülle
