Abigél
Adrienn
Ágnes
Ágota
Amália
Ametiszt
Anasztázia
Anatólia
Andi
Andrea
Androméda
Angéla
Angelika
Angyalka
Anikó
Anita
Anna
Annamária
Apollónia
Aranka
Ármina
Aurélia
Barbara
Beáta
Beatrix
Bella
Bernadett
Berta
Bianka
Blanka
Boglárka
Borbála
Borbolya
Cecília
Csilla
Dóra
Dorottya
Dzsesszika
Edit
Emőke
Enikő
Erika
Erzsébet
Eszter
Éva
Franciska
Gabriella
Gizella
Györgyi
Hajnal
Hargita
Ibolya
Ida
Ildikó
Ilma
Ilona
Irén
Ivett
Jázmin
Jolán
Judit
Júlia
Juliska
Kalliopé
Kata
Katalin
Klára
Klementina
Kleopátra
Krisztina
Leila
Lejla
Lilla
Magda
Magdolna
Margit
Mária
Márta
Mónika
Múzsa
Nadin
Nádja
Nóra
Orsolya
Piroska
Ráchel
Réka
Renáta
Rita
Sára
Szabina
Szilvia
Szófia
Teréz
Terézia
Tünde
Vera
Viktória
Zsanett
Zselyke
Zsófia
Zsuzsa
Zsuzsanna
