Aabel
Aabraham
Aadu
Aare
Aarne
Aaron
Ago
Agu
Ahti
Ahto
Aigar
Ain
Aivar
Aivo
Aksel
Alar
Alari
Albert
Aleks
Aleksander
Allan
Allar
Alo
Alvar
Ando
Andre
Andreas
Andres
Andrus
Anti
Anton
Ants
Ardi
Ardo
Arno
Arnold
Arti
Artur
Arved
Arvi
Arvo
Asko
August
Edgar
Eduard
Eedo
Eedu
Eerik
Eero
Egert
Egon
Einar
Eino
Elias
Elmar
Elmo
Endel
Endrik
Enn
Enno
Ergo
Erik
Erki
Erko
Erlend
Ermo
Evald
Evert
Feliks
Georg
Gert
Gunnar
Gustav
Hannes
Hans
Hardi
Harri
Heigo
Heiki
Heino
Heiti
Hendrik
Henn
Henri
Hillar
Iisak
Illar
Illimar
Ilmar
Ilmo
Imre
Indrek
Innar
Ivar
Ivari
Ivo
Jaagup
Jaak
Jaakob
Jaan
Jaanus
Jakob
Janar
Janek
Janno
Jass
Joel
Johannes
Joona
Joonas
Joonatan
Joosep
Juhan
Juho
Jukk
Juss
Jürgen
Jüri
Jürjo
Kaarel
Kaido
Kajar
Kalev
Kaljo
Kalju
Kalle
Kardo
Karl
Kaspar
Kaupo
Kaur
Kauri
Ken
Kermo
Kert
Kevin
Koit
Kristen
Kristian
Kristjan
Kristo
Kristofer
Kuldar
Kunnar
Kusta
Kustas
Kustav
Küllo
Laur
Lauri
Leevi
Leho
Lembit
Lennart
Luukas
Maanus
Maarjo
Madi
Madis
Magnus
Maido
Mairo
Mait
Marek
Margo
Margus
Mario
Mark
Marko
Markus
Marten
Marti
Martin
Mati
Matteus
Mattias
Meelis
Meeme
Mehis
Mihkel
Miikael
Mikk
Märt
Neeme
Nigul
Nigulas
Niilo
Nuut
Olari
Olavi
Olev
Oliver
Oskar
Ott
Otto
Paavo
Paul
Paulus
Peep
Peeter
Peetrus
Priidu
Priit
Ragnar
Raido
Raigo
Raiko
Raimo
Raimond
Rain
Rainer
Rait
Raivo
Rando
Ranno
Rasmus
Raul
Rauno
Reedik
Reigo
Rein
Reio
Rene
Richard
Rihard
Riho
Riivo
Risto
Robert
Robi
Robin
Roland
Roman
Romet
Roomet
Rudolf
Ruuben
Ruudi
Ruut
Rünno
Saamuel
Sander
Siim
Siimeon
Siimon
Silver
Sten
Sulev
Sven
Taaniel
Taavet
Taavi
Taavo
Taivo
Tambet
Tanel
Tarmo
Tarvi
Tarvo
Tauno
Tauri
Teet
Tiidrik
Tiit
Tiitus
Timmo
Timmu
Timo
Toivo
Toomas
Tormi
Tuudor
Tõnis
Tõnu
Udo
Uku
Uno
Urmas
Urmet
Urmo
Uudo
Vahur
Vaiko
Vaino
Valdeko
Valdo
Valdur
Valentin
Vallo
Valter
Vambola
Veiko
Veljo
Vello
Verner
Vidrik
Viktor
Viljar
Viljo
Ville
Villem
Villu
Voldemar
Vootele
Väino
Ülari
Üllar
Üllo
Ülo
Ürjo
