259943	Marie
114503	Anna
102041	Margrethe
83320	Karen
74209	Kirstine
68733	Kirsten
67097	Johanne
65803	Elisabeth
59911	Else
59278	Anne
55050	Inger
52922	Mette
51558	Louise
50337	Maria
49325	Ellen
48844	Kristine
48488	Hanne
47001	Sofie
43585	Inge
40863	Susanne
37673	Helle
37237	Grethe
36494	Marianne
35530	Lene
34119	Gerda
33832	Birthe
33806	Charlotte
33327	Bente
33312	Birgit
32803	Tove
32166	Edith
31594	Ruth
30431	Kathrine
29411	Pia
29237	Lone
28677	Christine
28210	Camilla
28159	Emilie
27883	Jytte
27767	Jette
27522	Birgitte
26376	Helene
26334	Bodil
26310	Julie
25805	Lis
25573	Katrine
25496	Lise
25468	Ulla
25162	Gitte
25154	Ingeborg
24847	Eva
24817	Tina
24389	Gudrun
24029	Irene
23517	Cecilie
22629	Ane
22570	Christina
22519	Vibeke
22489	Ingrid
22123	Annette
22062	Ida
21954	Rikke
21325	Emma
21161	Laura
20500	Karin
20324	Agnes
20136	Erna
20092	Mary
20069	Pernille
19799	Mathilde
19586	Anette
19398	Aase
18855	Dorthe
18837	Lisbeth
18809	Astrid
18555	Helga
18221	Esther
17830	Heidi
17799	Signe
17596	Line
17539	Inga
17458	Amalie
17250	Jensine
17036	Henriette
16825	Dorthea
16458	Elise
16409	Merete
16363	Alice
15716	Ella
15367	Sonja
15254	Rigmor
15205	Hansine
15161	Karoline
15006	Maren
14963	Lilly
14860	Margit
14735	Elly
14727	Jenny
14454	Martha
14270	Dorte
14188	Valborg
14062	Olga
13921	Caroline
13854	Karina
13755	Frederikke
13738	Trine
13434	Anni
13247	Rita
13236	Lykke
13192	Jane
13019	Malene
12948	Maja
12757	Elna
12537	Sara
12485	Nanna
12466	Agnete
12160	Linda,Andrea
11994	Stine
11987	Dagmar
11875	Dagny
11679	Nina
11645	Asta
11558	Nielsine
11429	Sigrid
11413	Mona
11219	Cathrine
11189	Anja
11181	Solveig
10706	Jonna
10593	Lillian
10243	Anita
10098	Grete
10068	Ebba
9959	Lotte
9948	Ester
9801	Mia
9733	Rosa
9636	Viola
9471	Jeanette
9397	Henny
9297	Annelise
9125	Britta
9088	Petra
9025	Sarah
9003	Gurli
8910	Birte
8811	Vera
8749	Ann
8373	Sophie
8349	Vilhelmine
8316	Tine
8310	Agnethe
8307	Laila
8198	Michelle
