376	Drejer,Skovbo
374	Kryger,Harboe,West,Koefoed,Jæger,Holme
372	Damm,Dall
371	Lunde,Randrup,Kragelund,Engholm
370	Østerby,Holck
369	Mygind,Vittrup,Broe,Albæk,Grønkjær
368	Cour,Baltzer
366	Høy,Schjødt
365	Broberg,Rostgaard
363	Uldall
362	Korsholm,Falkenberg,Richter
360	Aaby
359	Harder,Hjortshøj
358	Søndergård
357	Højberg,Voss,Alstrup
356	Breum
355	Halkjær,Guldbæk,Skjold,Iversen
354	Stilling,Lang,Secher
353	Holmegaard
352	Stenberg,Toftegaard
350	Kloster,Terp,Højland,Bork
349	Dueholm,von
348	Møldrup,Agerskov
347	Kærgaard,Krüger,Faber
346	Baun,Vest
345	Smidt,Vallentin,Skøtt,Thybo
344	Panduro
343	Hegelund,Helbo
342	Søborg,Ankjær
340	Hjelm,Lohmann
339	Eg
338	Munck,Tofte
337	Thestrup
336	Carøe
335	Runge,Risager,Grønbech
334	Meier,Ørsted,Kock
333	Schneider,Hedelund,Sehested,Suhr,Dissing,Kjærulff
332	Werner,Duelund,Mohr,Rosenkrantz
331	Engberg
330	Lassen
329	Müller,Gylling,Sejr
328	Agerbo
326	Reinhold,Elbæk
325	Fløe,Scheel
324	Pilegaard,Raahauge,Lundgren,Stjernholm
323	Skovbjerg
322	Stengaard,Bechmann,Rønde
321	Mortensen
319	Højrup,Stæhr
318	Birkedal,Ulrich,Kingo
317	Dybdahl,Vinding,Henriksen
316	Margr,Grønborg
315	Damgård
314	Johnsen,Høst,Foss,Lindgren,Tranberg
313	Lindstrøm,Hessellund
312	Nellemann,Hvidtfeldt,Frydenlund
311	Saaby
310	Kildegaard,Blaabjerg,Reimer
309	Raun,Skovgård,Lau
308	Brask
307	Enggaard
306	Nygård,Foldager,Løgstrup,Brøchner,Langballe,Fredslund
305	Kjøller,Bidstrup,Ibsen
304	Aakjær
302	Grøndahl,Westh,Gadegaard
300	Engelhardt,Lomholt,Holmberg
299	Neumann,Risgaard,Wolff,Bøgeskov
297	Gottlieb,Beyer
296	Thinggaard,Keller
295	Ebbesen
294	Serup,Vangsgaard
293	Skovsgaard,Kusk
292	Krabbe,Majgaard
291	Ammitzbøll
290	Boje,Færch,Skaaning
289	Byskov,Vig,Jepsen,Krøyer
288	Sandager,Tandrup,Ingerslev
287	Stage
286	Steenberg,Hedemann,Bachmann
285	Melchior,Lysgaard
284	Borregaard,Midtgaard,Stig
283	Hvass,Merrild
282	Skjoldborg
281	Kolding,Skovby
280	Simonsen,la
279	Rosenkvist,Filtenborg,Egeskov,Ravnholt
278	Hostrup,Ali,Halling,Refsgaard
276	Svendsen,Hee
275	Uhre,Kanstrup,Kondrup,Zacho
274	Klit
273	Palm,Jung,Lodberg,Thygesen
272	Lyngby,Ørbæk,Frederiksen,Maagaard
271	Deleuran,Tange,Amstrup,Glud
270	Dreyer,Trolle,Hedegård,Glerup,Balslev,Vilstrup
269	Kiel
268	Nørholm,Omar
267	Mønsted
266	Ryberg
264	Nyrup,Cramer,Dahlgaard,van,Sig,Ehlers
263	Wittrup
262	Ernst,Engell
261	Hoff,Thorsen,Adler
260	Lønborg,Bolvig
259	Kjellerup,Wang,Wichmann,Skafte
258	Toftgaard,Bilde
254	Godsk,Brunsgaard,Lyngsø,Stentoft
253	Nordstrøm,Laurberg,Klint
252	Bryde,Brønnum,Thuesen
251	Vissing,Grønning,Sass,Verner,Paaske
250	Kristiansen,Herløv
249	Køhler,Heiberg,Drachmann
248	Viborg
247	Wind,Vinter,Dencker,Dyrby
246	Haslund,Vesterskov,Haagen
244	Pape,Lindblad,Kousgaard
243	Birkelund,Agerholm,Hildebrandt,Gaarde,Hjerrild
242	Loft,Højen,Vagner
241	Gravgaard,Frimann,Bjørnskov,Borgen
240	Sparre,Mønster,Weinreich,Gregersen,Langhoff,Baden
238	Nymand,Bruus,Rafn,Fink,Kyed,Paludan
237	Vejby,Skotte,Breinholt,With,Overby,Aggerholm,Rørbæk,Kring,Mollerup
236	Hermann,Gerner
235	Horn,Walther,Høg
234	Nykjær
233	Theilgaard,Bøgebjerg
232	Bohn,Ringgaard,Lauge,Riise,Ismail,Hauberg
231	Svarre,Witt,Kaur
230	Henneberg,Oxholm,Plesner,Schøler
229	Vejlgaard,Borre
228	Dehn,Baagøe,Kongstad,Vejen,Balling
227	Boesen,Ørgaard,Blach,Obel,Houmann,Thorsted
226	Holbæk
225	Fenger,Ølgaard,Myrup,Vium
224	Slott,Helmer,Westphal,Hertz
223	Kure,Reinholt,Lindahl
222	Hall,Willemoes,Damborg
221	Brødsgaard,Enemark
220	Møllegaard,Linnemann,Nyboe,Ahlmann,Børsting,Stenholt
219	Skipper,Brandstrup,Dige,Kær
218	Nørlund,Marie,Frausing,Hornshøj
217	Berner,Demant,Munksgaard
216	Bertram,Lysdal,Eggert,Frandsen
215	Aarestrup,Kastberg
214	Mogensen,Kvistgaard,Schelde,Tarp,Nordentoft,Pontoppidan,Rolighed
213	Teglgaard,Elsborg,Bomholt
212	Strunge,Halberg,Langkjær,Nørtoft
211	Søholm,Thode,Harding,Lundby,Krohn,Skødt,Monrad
210	Dyhrberg,Carlsen
209	Spanggaard,Sahl,Mørup
208	Klein,Sten,Husum,Kaalund
207	Brinkmann,Bastrup,Thyregod,Hornbæk,Heidemann,Rasch,Ulrik,Rosengren
206	Hyldahl,Ankerstjerne,Hartung,Nyvang
205	Sinding,Spangsberg,Heegaard,Pallisgaard,Hou,Osman,Støvring,Saabye,Ditlev,Khaled,Holten,Bøg
204	Harpøth,Grove,Grube
203	Milling,Thorning,Søegaard,Bager,Broch,Kjærulf
202	Rindom,Bredal,Nybro,Niemann,Gejl,Øllgaard,Kappel,Søberg,Funder
201	Dinesen
200	Rosenfeldt,Arvad,Aaskov,Elmelund
199	Forsberg,Primdahl,Boysen,Krebs,Fjeldsted,Søgård,Uldahl,Seidelin,Ejstrup
198	Wiberg,Lindkvist,Mølsted
197	Stubkjær,Rosengaard,Gad,Blak,Strandgaard,Sund,Alsted,Studsgaard,Overgård
196	Tholstrup,Stub,Gregers,Buchwald,Thaarup,Fruergaard
195	Frydensberg,Rydahl,Engelund,Boll,Leander,Hamann,Feldborg,Grøndal,Lønstrup
194	Øster,Heilmann
193	Weiss,Hindborg,Aaen,Lautrup,Banke,le
192	Blok,Kirketerp,Wendelboe,Faurholt,Legaard,Øland
191	Hørup,Abild,Appel,Clement,Birkholm,Strandby,Mahamed
190	Hvidberg,Tinggaard,Geisler,Noer,Frøkjær,Rishøj,Bek,Baadsgaard
189	Dollerup,Leegaard,Veng,Becker,Grønhøj,Haunstrup
188	Lysholm,Strand,Stuhr,Linnet
187	Honoré,Maegaard,Reinhardt,Wolf
186	Thorhauge,Agergaard,Sjørslev,Højris,Warming,Vikkelsø
185	Hjuler,Staun,Langgaard,Guldmann,Tougaard,Mærsk
184	Nørmark,Stein,Mulvad,Klingenberg,Ejby,Bertelsen,Sandfeld,Mølgård
183	Abbas,Skovhus,Lauridsen,Svanholm,Uhrskov
182	Theil,Kjems
181	Møbjerg,Grundtvig,Holdgaard,Tvede,Fynbo
180	Langkilde,Riisgaard,Birkkjær,Lundager,Østerlund,Weis,Bøgild
179	Mørck,Bjerggaard,Nordby,Kongsgaard
178	Kokholm,Crone,Kehlet,Lyager
177	Sandahl,Rode,Hebsgaard,Vandborg
176	Estrup,Haaning,Thor,Basse
175	Graugaard,Kongsted,Hyllested,Mosgaard,Aas,Puggaard,Dal
174	Veje,Lentz,Udengaard
173	Lindbjerg,Mondrup,Thorsø,Buchardt,Junge,Brock
172	Frydendal,Ilsøe,Braad,Høier,Skak
171	Bjørnholt,Prip,Sølvsten,Rahbæk,Back,Barslund
170	Lønberg,Rosenvinge,Solberg,Lolk,Øgaard,Lisberg,Rauff
169	Bastholm,Gorm,Ross,Linding,Friborg,Risum,Holk,Hastrup
168	Rosing,Wittendorff,Gam,Thulstrup,Fugl,Daugbjerg,Laulund,Ostenfeldt
167	Sandal,Amby,Engstrøm,Birkebæk,Dons
166	Gamborg,Lundholm,Sønderup,Videbæk
165	Ziegler,Rosenørn,Frydendahl,List
164	Marquard,Khalil,Hangaard,Ramskov,Løvendahl,Baastrup,Koustrup,Skovborg,Lorenzen,Andreasen,Blichfeldt,Jagd
163	Sylvester,Hovmand,Jeppesen,Lyberth,Koed,Døssing,Dalgas,Kornerup,Østrup
162	Flarup,Rantzau,Hjøllund,Honore,Dahm,Visby,Rubæk,Agger,Meisner
161	Risbjerg,Sigaard
160	Marker,Krøll,Venø,Lindemann,Kirstein,Fiil,Wissing,Maarup,Risom
159	Sølling,Rosenkrands,Monberg,Bylov,Abildtrup,Mohamud,Rex,Løwe,Lie
158	Emborg,Tønder,Svenstrup,Olander,Plougmann,Kjølby,Hass,Bernth
157	Bull,Mandal,Steffensen,Bender,Hvam,Hørby,Arndt,Højvang
156	Svejgaard,Løve,Graff,Rix,Vogt
155	Brøns,Kruuse,Skovdal,Thagaard,Kleist
154	Kejser,Broholm,Grau,Rude,Løth,Svejstrup,Hahn,Selmer,Flensborg
